id,date,medtype,medium,headline,value,gold,lemmapos,lemmata
10007,2015-02-02T10:18:37Z,Internet,4 NOS.nl,Rabobank voorspelt flinke stijging hypotheekrente,0,FALSE,SPEC_Rabobank WW_voorspellen ADJ_flink N_stijging N_hypotheekrente,Rabobank voorspellen flink stijging hypotheekrente
10027,2015-02-02T22:23:04Z,Internet,4 NOS.nl,D66 wil reserves provincies aanspreken voor groei,0,FALSE,SPEC_D66 WW_willen N_reserve N_provincie WW_aanspreken VZ_voor N_groei,D66 willen reserve provincie aanspreken voor groei
10037,2015-02-03T11:12:24Z,Internet,4 NOS.nl,UWV: dit jaar meer banen,1,FALSE,SPEC_UWV VNW_dit N_jaar VNW_veel N_baan,UWV dit jaar veel baan
10059,2015-02-04T10:12:18Z,Internet,4 NOS.nl,Proosten op geslaagde beursgang Bols,1,FALSE,N_proost VZ_op ADJ_geslaagd N_beursgang N_bols,proost op geslaagd beursgang bols
10099,2015-02-05T10:03:02Z,Internet,4 NOS.nl,Helft werknemers gaat na 65ste met pensioen,0,FALSE,N_helft N_werknemer WW_gaan VZ_na TW_65ste VZ_met N_pensioen,helft werknemer gaan na 65ste met pensioen
10101,2015-02-05T10:51:59Z,Internet,4 NOS.nl,Europa groeit voorzichtig dankzij lage energieprijzen,1,FALSE,SPEC_Europa WW_groeien ADJ_voorzichtig VZ_dankzij ADJ_laag N_energieprijs,Europa groeien voorzichtig dankzij laag energieprijs
10103,2015-02-05T10:55:15Z,Internet,4 NOS.nl,Ongerustheid op Griekse financiële markten,0,FALSE,N_ongerustheid VZ_op ADJ_griekse ADJ_financieel N_markt,ongerustheid op griekse financieel markt
10111,2015-02-05T13:21:04Z,Internet,4 NOS.nl,Dijsselbloem: ECB heeft regels toegepast,1,FALSE,SPEC_Dijsselbloem SPEC_ECB WW_hebben N_regel WW_toepassen,Dijsselbloem ECB hebben regel toepassen
10113,2015-02-05T13:53:22Z,Internet,4 NOS.nl,Export voedingsmiddelen naar Rusland opgedroogd,-1,FALSE,N_export N_voedingsmiddel VZ_naar SPEC_Rusland WW_opdrogen,export voedingsmiddel naar Rusland opdrogen
10119,2015-02-05T17:12:50Z,Internet,4 NOS.nl,Rust keert weer op beurzen,1,FALSE,N_rust WW_keren BW_weer VZ_op N_beurs,rust keren weer op beurs
10159,2015-02-06T18:29:10Z,Internet,4 NOS.nl,Teeven houdt vast aan korten op rechtsbijstand,0,FALSE,SPEC_Teeven WW_houden ADJ_vast VZ_aan WW_korten VZ_op N_rechtsbijstand,Teeven houden vast aan korten op rechtsbijstand
10213,2015-02-09T09:35:05Z,Internet,4 NOS.nl,Chinese economie verder verzwakt,-1,FALSE,ADJ_chinese N_economie ADJ_ver WW_verzwakken,chinese economie ver verzwakken
10219,2015-02-09T14:26:33Z,Internet,4 NOS.nl,V&D is voorlopig gered,1,FALSE,SPEC_V N_d WW_zijn ADJ_voorlopig WW_redden,V d zijn voorlopig redden
10223,2015-02-09T15:50:04Z,Internet,4 NOS.nl,Bonden zetten kort geding tegen V&D gewoon door,0,FALSE,N_bond WW_zetten ADJ_kort_geding VZ_tegen SPEC_V N_d ADJ_gewoon VZ_door,bond zetten kort_geding tegen V d gewoon door
10235,2015-02-09T17:30:56Z,Internet,4 NOS.nl,440 werknemers weg bij Blokker,-1,FALSE,TW_440 N_werknemer BW_weg VZ_bij SPEC_Blokker,440 werknemer weg bij Blokker
10239,2015-02-09T20:27:20Z,Internet,4 NOS.nl,Bonden willen 'stevig' sociaal plan Blokker,0,FALSE,N_bond WW_willen ADJ_stevig ADJ_sociaal N_plan N_blokker,bond willen stevig sociaal plan blokker
10247,2015-02-10T07:42:18Z,Internet,4 NOS.nl,Altijd groot vertrouwen in oplossing V&D gehad',1,FALSE,BW_altijd ADJ_groot N_vertrouwen VZ_in N_oplossing SPEC_V N_d WW_hebben,altijd groot vertrouwen in oplossing V d hebben
10253,2015-02-10T10:27:43Z,Internet,4 NOS.nl,'Olieprijs gaat weer omhoog',0,FALSE,N_olieprijs WW_gaan BW_weer BW_omhoog,olieprijs gaan weer omhoog
10269,2015-02-10T17:49:40Z,Internet,4 NOS.nl,Overleg Blokker levert nog niets op,0,FALSE,SPEC_Overleg_Blokker WW_leveren BW_nog VNW_niets VZ_op,Overleg_Blokker leveren nog niets op
10273,2015-02-10T18:05:27Z,Internet,4 NOS.nl,Dijsselbloem wil met Griekenland naar oplossing zoeken,0,TRUE,SPEC_Dijsselbloem WW_willen VZ_met SPEC_Griekenland VZ_naar N_oplossing WW_zoeken,Dijsselbloem willen met Griekenland naar oplossing zoeken
10279,2015-02-10T21:22:32Z,Internet,4 NOS.nl,Koning Felipe levert deel salaris in wegens crisis,0,FALSE,N_koning SPEC_Felipe WW_leveren N_deel N_salaris VZ_in VZ_wegens N_crisis,koning Felipe leveren deel salaris in wegens crisis
10281,2015-02-10T23:27:57Z,Internet,4 NOS.nl,Steeds meer mensen met twee banen,0,FALSE,BW_steeds VNW_veel N_mens VZ_met TW_twee N_baan,steeds veel mens met twee baan
10289,2015-02-11T05:30:31Z,Internet,4 NOS.nl,Meer export biologische producten,1,FALSE,VNW_veel N_export ADJ_biologisch N_product,veel export biologisch product
